panel,model,horizon_months,auroc,ci_low,ci_high,sensitivity,specificity
A_timedep_auroc,Plasma-5 + NfL,24,0.7370431893687708,0.6694134875182111,0.8023984658359659,,
A_timedep_auroc,Plasma-5 + NfL,27,0.7319597069597069,0.6622957102367807,0.8040497937544833,,
A_timedep_auroc,Plasma-5 + NfL,30,0.7756981580510992,0.7049992780839067,0.8515794378715887,,
A_timedep_auroc,Plasma-5 + NfL,33,0.7861394557823129,0.7148125020113926,0.8555708309888707,,
A_timedep_auroc,Plasma-5 + NfL,36,0.773015873015873,0.70315589569161,0.8489148282134427,,
A_timedep_auroc,Plasma-5 + NfL,39,0.7831215970961888,0.7086031798148168,0.8561423559138162,,
A_timedep_auroc,Plasma-5 + NfL,42,0.7945151033386327,0.7265011190985704,0.8655900585957358,,
A_timedep_auroc,Plasma-5 + NfL,45,0.803835456009369,0.7328452862387116,0.8778923189810134,,
A_timedep_auroc,Plasma-5 + NfL,48,0.8245192307692308,0.7627384836456633,0.8922751200713899,,
A_timedep_auroc,Plasma-5 + NfL,51,0.8485714285714286,0.7922539891052721,0.9150342131194482,,
A_timedep_auroc,Plasma-5 + NfL,54,0.8795830337886412,0.8224907407407408,0.9285902181003431,,
A_timedep_auroc,Plasma-5 + NfL,57,0.8785116279069768,0.818490463389657,0.9285902181003431,,
A_timedep_auroc,Plasma-5 + NfL,60,0.8751753155680224,0.8148215836778515,0.9267212525025026,,
A_timedep_auroc,Plasma-5 + NfL,63,0.847979797979798,0.7723156146179402,0.9074261886921756,,
A_timedep_auroc,Plasma-5 + NfL,66,0.860633484162896,0.775256445873186,0.927248450750163,,
A_timedep_auroc,Plasma-5 + NfL,69,0.8497425997425998,0.7733093093093094,0.9194160188432595,,
A_timedep_auroc,Plasma-5 + NfL,72,0.8354605036219386,0.7493312621886052,0.9001363636363637,,
A_timedep_auroc,Plasma-5 + NfL,75,0.8520179372197308,0.7599647063896272,0.9320618541216054,,
A_timedep_auroc,Plasma-5 + NfL,78,0.8520179372197308,0.7599647063896272,0.9320618541216054,,
A_timedep_auroc,Plasma-5 + NfL,81,0.8603316326530612,0.7513732781552888,0.9506468253968254,,
A_timedep_auroc,Plasma-5 + NfL,84,0.8385185185185184,0.737355649120355,0.9306844439657704,,
A_timedep_auroc,Plasma-5 + NfL,87,0.8382222222222222,0.7222923363892526,0.9541207164532602,,
A_timedep_auroc,Plasma-5 + NfL,90,0.7986725663716814,0.6724444388576026,0.9304420939754338,,
A_timedep_auroc,Plasma-5 + NfL,93,0.7986725663716814,0.6724444388576026,0.9304420939754338,,
A_timedep_auroc,Plasma-5 + NfL,96,0.7772861356932154,0.6275646502620187,0.956296992481203,,
A_timedep_auroc,Plasma-5 + NfL,99,0.7772861356932154,0.6275646502620187,0.956296992481203,,
A_timedep_auroc,Plasma-5 + slope,6,0.6718213058419243,0.595531827938033,0.7656129809229328,,
A_timedep_auroc,Plasma-5 + slope,9,0.6954239668810527,0.6274207760549873,0.7681014226919017,,
A_timedep_auroc,Plasma-5 + slope,12,0.7163148550009865,0.6609638354389391,0.7856850323954736,,
A_timedep_auroc,Plasma-5 + slope,15,0.739457338999673,0.6816048398358492,0.7994018650832334,,
A_timedep_auroc,Plasma-5 + slope,18,0.747313994090787,0.6833088271469716,0.8049159348916183,,
A_timedep_auroc,Plasma-5 + slope,21,0.7306919322423198,0.6630390260932327,0.7920502468314474,,
A_timedep_auroc,Plasma-5 + slope,24,0.7541565778853915,0.6772494020439227,0.8212620110582067,,
A_timedep_auroc,Plasma-5 + slope,27,0.7590017825311943,0.6889675491362919,0.8285610305415698,,
A_timedep_auroc,Plasma-5 + slope,30,0.790895061728395,0.7089949657842237,0.8611059712674072,,
A_timedep_auroc,Plasma-5 + slope,33,0.8121827411167513,0.7369336792446143,0.8828897336731585,,
A_timedep_auroc,Plasma-5 + slope,36,0.8182421227197346,0.7504022821249713,0.8871552108304137,,
A_timedep_auroc,Plasma-5 + slope,39,0.8380566801619432,0.7593223180076628,0.9098236401343623,,
A_timedep_auroc,Plasma-5 + slope,42,0.8512866933919565,0.7741689982444591,0.918592653041008,,
A_timedep_auroc,Plasma-5 + slope,45,0.8710691823899371,0.7853220549795721,0.9401631605098275,,
A_timedep_auroc,Plasma-5 + slope,48,0.8909917840375586,0.8131798469387754,0.9475865123496703,,
A_timedep_auroc,Plasma-5 + slope,51,0.9334883720930233,0.8941424680053438,0.96471932638332,,
A_timedep_auroc,Plasma-5 + slope,54,0.9506498068141903,0.9212201043018307,0.9762436124018694,,
A_timedep_auroc,Plasma-5 + slope,57,0.9461818181818181,0.9125710073710073,0.9729970655646095,,
A_timedep_auroc,Plasma-5 + slope,60,0.9445750097924012,0.9087723301717867,0.9724396352427433,,
A_timedep_auroc,Plasma-5 + slope,63,0.9501234567901233,0.917986928104575,0.9731620662693261,,
A_timedep_auroc,Plasma-5 + slope,66,0.9536873156342183,0.9234125927128712,0.9780129011957206,,
A_timedep_auroc,Plasma-5 + slope,69,0.9468219005663939,0.9181917427550615,0.9746749132560923,,
A_timedep_auroc,Plasma-5 + slope,72,0.9473684210526315,0.9187888712452031,0.9746749132560923,,
A_timedep_auroc,Plasma-5 + slope,75,0.9507797270955165,0.9171509103909701,0.9796396038754117,,
A_timedep_auroc,Plasma-5 + slope,78,0.9507797270955165,0.9171509103909701,0.9796396038754117,,
A_timedep_auroc,Plasma-5 + slope,81,0.9494697442295695,0.9051667437557817,0.9798307618251374,,
A_timedep_auroc,Plasma-5 + slope,84,0.9420289855072463,0.8991459510357815,0.9795433652347555,,
A_timedep_auroc,Plasma-5 + slope,87,0.9521739130434783,0.9059057971014493,0.991594827586207,,
A_timedep_auroc,Plasma-5 + slope,90,0.9361471861471861,0.889079526795044,0.968369855316758,,
A_timedep_auroc,Plasma-5 + slope,93,0.9361471861471861,0.889079526795044,0.968369855316758,,
A_timedep_auroc,Plasma-5 + slope,96,0.9264069264069266,0.8705480072463768,0.9634653343669055,,
A_timedep_auroc,Plasma-5 + slope,99,0.9264069264069266,0.8705480072463768,0.9634653343669055,,
A_timedep_auroc,Plasma-5 + NfL + slope,6,0.6807289569069674,0.6109119899306678,0.7507974375056798,,
A_timedep_auroc,Plasma-5 + NfL + slope,9,0.7170163170163171,0.6567494086353052,0.7874858864151846,,
A_timedep_auroc,Plasma-5 + NfL + slope,12,0.7614760857614074,0.6983301307122856,0.8134845555343693,,
A_timedep_auroc,Plasma-5 + NfL + slope,15,0.7728138174894601,0.7067628282702552,0.8211635372986311,,
A_timedep_auroc,Plasma-5 + NfL + slope,18,0.7649144764288693,0.6980136641805579,0.8236587576931786,,
A_timedep_auroc,Plasma-5 + NfL + slope,21,0.7512961042808473,0.6778840022598398,0.8171561952034709,,
A_timedep_auroc,Plasma-5 + NfL + slope,24,0.7694352159468438,0.7007499030178845,0.8345692530130654,,
A_timedep_auroc,Plasma-5 + NfL + slope,27,0.7698717948717948,0.6952583890499773,0.8448330895452381,,
A_timedep_auroc,Plasma-5 + NfL + slope,30,0.809467221231927,0.7381691673290939,0.8810306914317609,,
A_timedep_auroc,Plasma-5 + NfL + slope,33,0.8370535714285715,0.7707367999013077,0.9062964649383739,,
A_timedep_auroc,Plasma-5 + NfL + slope,36,0.8304988662131519,0.7665322511893317,0.906902531723797,,
A_timedep_auroc,Plasma-5 + NfL + slope,39,0.8470313715322789,0.7773353708739635,0.9130308714584362,,
A_timedep_auroc,Plasma-5 + NfL + slope,42,0.8585055643879173,0.8023796739300015,0.9202520512976121,,
A_timedep_auroc,Plasma-5 + NfL + slope,45,0.8702971746450008,0.8054578400130992,0.9342188373503528,,
A_timedep_auroc,Plasma-5 + NfL + slope,48,0.8898737980769231,0.8195565583586181,0.9495940455421221,,
A_timedep_auroc,Plasma-5 + NfL + slope,51,0.9260317460317461,0.8966734504824735,0.9649658584978706,,
A_timedep_auroc,Plasma-5 + NfL + slope,54,0.9473400431344355,0.9196015861629205,0.9739361534675001,,
A_timedep_auroc,Plasma-5 + NfL + slope,57,0.9447441860465116,0.9145639779661496,0.9716100766518576,,
A_timedep_auroc,Plasma-5 + NfL + slope,60,0.9453015427769986,0.9159235042656722,0.9711162009047478,,
A_timedep_auroc,Plasma-5 + NfL + slope,63,0.9366161616161617,0.8972261745284297,0.9645581432306378,,
A_timedep_auroc,Plasma-5 + NfL + slope,66,0.9438914027149322,0.9085360159751753,0.9722188995215311,,
A_timedep_auroc,Plasma-5 + NfL + slope,69,0.9372586872586872,0.8977748062096488,0.9678320014366525,,
A_timedep_auroc,Plasma-5 + NfL + slope,72,0.9296309072093824,0.8859618096357227,0.9639561683864486,,
A_timedep_auroc,Plasma-5 + NfL + slope,75,0.9307424015944195,0.8861698601342065,0.9721270285111486,,
A_timedep_auroc,Plasma-5 + NfL + slope,78,0.9307424015944195,0.8861698601342065,0.9721270285111486,,
A_timedep_auroc,Plasma-5 + NfL + slope,81,0.9260204081632653,0.8780729965773633,0.9706753517326204,,
A_timedep_auroc,Plasma-5 + NfL + slope,84,0.9133333333333333,0.8635743983752299,0.959307268722467,,
A_timedep_auroc,Plasma-5 + NfL + slope,87,0.9235555555555556,0.8692247041227728,0.9702774281518776,,
A_timedep_auroc,Plasma-5 + NfL + slope,90,0.9026548672566371,0.8438125750901081,0.9523640511484912,,
A_timedep_auroc,Plasma-5 + NfL + slope,93,0.9026548672566371,0.8438125750901081,0.9523640511484912,,
A_timedep_auroc,Plasma-5 + NfL + slope,96,0.8908554572271387,0.8254213172448467,0.9518123228376618,,
A_timedep_auroc,Plasma-5 + NfL + slope,99,0.8908554572271387,0.8254213172448467,0.9518123228376618,,
B_fixed_horizon_auroc,NfL,12,0.7048859263331501,0.6396229146303029,0.7752303119482862,,
B_fixed_horizon_auroc,NfL,24,0.6710963455149502,0.6067451083809051,0.7449776288230077,,
B_fixed_horizon_auroc,NfL,36,0.7043650793650793,0.631484800301726,0.7766147636025481,,
B_fixed_horizon_auroc,NfL,54,0.7036304816678649,0.6060960480978004,0.791524910831306,,
