fs,clf,horizon,auc_mean,auc_std,auc_count,bal_mean,bal_std,bal_count,sens_mean,sens_std,sens_count,spec_mean,spec_std,spec_count,ppv_mean,ppv_std,ppv_count,npv_mean,npv_std,npv_count
ALSFRS slope,RF,36,0.7473682669789227,0.05233373110521154,200,0.7000439110070258,0.05746551263245268,200,0.5990163934426229,0.027785622192365935,200,0.8010714285714287,0.09919104133312993,200,0.929568166770989,0.03427316419712438,200,0.31435850678385685,0.03630559968905588,200
ALSFRS slope,RF,54,0.8252840909090909,0.06197455699279994,200,0.7645265151515152,0.05253379717631619,200,0.6403030303030303,0.06410704279297912,200,0.88875,0.12643025964049834,200,0.9807973344203876,0.020766721194370025,200,0.2328587700878052,0.029175031128304177,200
ALSFRS slope,RF,75,0.7601690821256039,0.11158416890562452,200,0.7534057971014492,0.10444789119343244,200,0.7484782608695651,0.08467994945005908,200,0.7583333333333333,0.2734021648023164,200,0.9875956158498049,0.013584474617199081,200,0.11562934225362048,0.03035252515238106,200
ALSFRS slope,SVM,12,0.7160574229691876,0.053411883306308916,200,0.6646288515406162,0.046559700253018796,200,0.6848529411764706,0.051694647657926765,200,0.6444047619047619,0.04236896593605236,200,0.6092798994437313,0.045974954229241964,200,0.7163960294881347,0.04622143385560055,200
ALSFRS slope,SVM,24,0.5435890652557319,0.1250575874691679,200,0.5309722222222222,0.08898668014754842,200,0.5252777777777777,0.050165936368238274,200,0.5366666666666666,0.1280701544891724,200,0.7445679824561404,0.07066243300572785,200,0.30540240240240235,0.07290574446677042,200
ALSFRS slope,SVM,36,0.6221604215456674,0.10418561394139478,200,0.5857669789227166,0.08865451025510075,200,0.5408196721311476,0.03395998397627417,200,0.6307142857142857,0.14394952054516563,200,0.8644871794871795,0.052973376891518924,200,0.23973670098670097,0.054763960122397856,200
ALSFRS slope,SVM,54,0.642405303030303,0.22452209495004116,200,0.5990056818181818,0.16711865873235293,200,0.5236363636363636,0.036664407618738536,200,0.674375,0.29810369578757495,200,0.9299053506948245,0.06417889438935923,200,0.14647747747747744,0.06476224940177426,200
ALSFRS slope,SVM,75,0.5966183574879227,0.32960645556223706,200,0.5685869565217392,0.23221936727847595,200,0.508840579710145,0.019857116324301084,200,0.6283333333333334,0.4473103439786102,200,0.969366541274436,0.036848497262286437,200,0.05252054154995329,0.037384302677586655,200
ALSFRS slope,kNN,12,0.6560731792717087,0.04807541688968721,200,0.6260259103641457,0.04500176829610996,200,0.7376470588235294,0.08210341827505353,200,0.5144047619047619,0.0771571210066165,200,0.5527357554552692,0.03997957635112519,200,0.7123910526606414,0.06287480171920867,200
ALSFRS slope,kNN,24,0.6427667548500883,0.058923369134357036,200,0.6231481481481481,0.05411651933416487,200,0.7012962962962963,0.08223913019079333,200,0.545,0.09998888941114722,200,0.7990027788097492,0.03520896485963015,200,0.4219007429730855,0.06995972479733079,200
