group,time,surv,n_risk,strata,repeat_id,signature
High,79,0,0,group=High,1,Plasma-5
Low,79,0.14755934644617397,8,group=Low,1,Plasma-5
High,80,0,0,group=High,1,Plasma-5
Low,80,0.14755934644617397,8,group=Low,1,Plasma-5
High,81,0,0,group=High,1,Plasma-5
Low,81,0.12911442814040222,7,group=Low,1,Plasma-5
High,82,0,0,group=High,1,Plasma-5
Low,82,0.12911442814040222,7,group=Low,1,Plasma-5
High,83,0,0,group=High,1,Plasma-5
Low,83,0.11066950983463048,6,group=Low,1,Plasma-5
High,84,0,0,group=High,1,Plasma-5
Low,84,0.11066950983463048,6,group=Low,1,Plasma-5
High,85,0,0,group=High,1,Plasma-5
Low,85,0.11066950983463048,5,group=Low,1,Plasma-5
High,86,0,0,group=High,1,Plasma-5
Low,86,0.11066950983463048,5,group=Low,1,Plasma-5
High,87,0,0,group=High,1,Plasma-5
Low,87,0.11066950983463048,5,group=Low,1,Plasma-5
High,88,0,0,group=High,1,Plasma-5
Low,88,0.08853560786770438,4,group=Low,1,Plasma-5
High,89,0,0,group=High,1,Plasma-5
Low,89,0.08853560786770438,4,group=Low,1,Plasma-5
High,90,0,0,group=High,1,Plasma-5
Low,90,0.08853560786770438,4,group=Low,1,Plasma-5
High,91,0,0,group=High,1,Plasma-5
Low,91,0.08853560786770438,4,group=Low,1,Plasma-5
High,92,0,0,group=High,1,Plasma-5
Low,92,0.08853560786770438,4,group=Low,1,Plasma-5
High,93,0,0,group=High,1,Plasma-5
Low,93,0.08853560786770438,4,group=Low,1,Plasma-5
High,94,0,0,group=High,1,Plasma-5
Low,94,0.08853560786770438,4,group=Low,1,Plasma-5
High,95,0,0,group=High,1,Plasma-5
Low,95,0.08853560786770438,4,group=Low,1,Plasma-5
High,96,0,0,group=High,1,Plasma-5
Low,96,0.08853560786770438,3,group=Low,1,Plasma-5
High,97,0,0,group=High,1,Plasma-5
Low,97,0.08853560786770438,3,group=Low,1,Plasma-5
High,98,0,0,group=High,1,Plasma-5
Low,98,0.08853560786770438,3,group=Low,1,Plasma-5
High,99,0,0,group=High,1,Plasma-5
Low,99,0.08853560786770438,3,group=Low,1,Plasma-5
High,100,0,0,group=High,1,Plasma-5
Low,100,0.08853560786770438,3,group=Low,1,Plasma-5
High,0,1,117,group=High,2,Plasma-5
Low,0,1,131,group=Low,2,Plasma-5
High,1,0.9914529914529915,116,group=High,2,Plasma-5
Low,1,0.9923664122137404,130,group=Low,2,Plasma-5
High,2,0.9572649572649573,113,group=High,2,Plasma-5
Low,2,0.9389312977099236,123,group=Low,2,Plasma-5
High,3,0.9145299145299146,108,group=High,2,Plasma-5
Low,3,0.8549618320610686,115,group=Low,2,Plasma-5
High,4,0.871794871794872,102,group=High,2,Plasma-5
Low,4,0.8396946564885495,112,group=Low,2,Plasma-5
High,5,0.837606837606838,98,group=High,2,Plasma-5
Low,5,0.8091603053435115,106,group=Low,2,Plasma-5
High,6,0.8034188034188038,94,group=High,2,Plasma-5
Low,6,0.7633587786259541,100,group=Low,2,Plasma-5
High,7,0.7521367521367525,88,group=High,2,Plasma-5
Low,7,0.7404580152671755,98,group=Low,2,Plasma-5
High,8,0.6923076923076928,83,group=High,2,Plasma-5
Low,8,0.7328244274809159,96,group=Low,2,Plasma-5
High,9,0.6666666666666671,80,group=High,2,Plasma-5
Low,9,0.679389312977099,89,group=Low,2,Plasma-5
High,10,0.5982905982905987,70,group=High,2,Plasma-5
Low,10,0.6488549618320608,85,group=Low,2,Plasma-5
High,11,0.5641025641025645,66,group=High,2,Plasma-5
Low,11,0.610687022900763,81,group=Low,2,Plasma-5
High,12,0.5213675213675218,61,group=High,2,Plasma-5
Low,12,0.5801526717557248,77,group=Low,2,Plasma-5
High,13,0.45299145299145344,53,group=High,2,Plasma-5
Low,13,0.5725190839694653,75,group=Low,2,Plasma-5
High,14,0.4273504273504277,51,group=High,2,Plasma-5
Low,14,0.5496183206106866,72,group=Low,2,Plasma-5
High,15,0.39316239316239343,46,group=High,2,Plasma-5
Low,15,0.5267175572519079,69,group=Low,2,Plasma-5
High,16,0.36752136752136777,43,group=High,2,Plasma-5
Low,16,0.5190839694656484,68,group=Low,2,Plasma-5
High,17,0.3504273504273506,41,group=High,2,Plasma-5
Low,17,0.5114503816793888,67,group=Low,2,Plasma-5
High,18,0.3076923076923079,36,group=High,2,Plasma-5
Low,18,0.5038167938931293,66,group=Low,2,Plasma-5
High,19,0.28205128205128216,33,group=High,2,Plasma-5
Low,19,0.48091603053435067,64,group=Low,2,Plasma-5
High,20,0.27350427350427364,32,group=High,2,Plasma-5
Low,20,0.458015267175572,60,group=Low,2,Plasma-5
High,21,0.23931623931623947,28,group=High,2,Plasma-5
Low,21,0.44274809160305295,58,group=Low,2,Plasma-5
High,22,0.23076923076923092,27,group=High,2,Plasma-5
Low,22,0.42748091603053384,56,group=Low,2,Plasma-5
High,23,0.22222222222222235,26,group=High,2,Plasma-5
Low,23,0.40458015267175523,53,group=Low,2,Plasma-5
High,24,0.17094017094017103,21,group=High,2,Plasma-5
Low,24,0.3891632989073487,51,group=Low,2,Plasma-5
High,25,0.15384615384615388,19,group=High,2,Plasma-5
Low,25,0.3735967669510547,48,group=Low,2,Plasma-5
High,26,0.14529914529914534,17,group=High,2,Plasma-5
Low,26,0.3580302349947607,46,group=Low,2,Plasma-5
High,27,0.1367521367521368,16,group=High,2,Plasma-5
Low,27,0.34246370303846674,44,group=Low,2,Plasma-5
High,28,0.1367521367521368,16,group=High,2,Plasma-5
Low,28,0.34246370303846674,44,group=Low,2,Plasma-5
High,29,0.1196581196581197,14,group=High,2,Plasma-5
Low,29,0.33468043706031975,43,group=Low,2,Plasma-5
High,30,0.11111111111111116,13,group=High,2,Plasma-5
Low,30,0.32671185522555024,42,group=Low,2,Plasma-5
High,31,0.10256410256410262,12,group=High,2,Plasma-5
Low,31,0.31874327339078073,40,group=Low,2,Plasma-5
High,32,0.10256410256410262,12,group=High,2,Plasma-5
Low,32,0.3028061097212417,38,group=Low,2,Plasma-5
High,33,0.10256410256410262,12,group=High,2,Plasma-5
Low,33,0.2948375278864722,37,group=Low,2,Plasma-5
High,34,0.09401709401709406,11,group=High,2,Plasma-5
Low,34,0.2789003642169332,35,group=Low,2,Plasma-5
High,35,0.09401709401709406,11,group=High,2,Plasma-5
Low,35,0.2789003642169332,35,group=Low,2,Plasma-5
High,36,0.09401709401709406,11,group=High,2,Plasma-5
Low,36,0.2709317823821637,34,group=Low,2,Plasma-5
High,37,0.09401709401709406,11,group=High,2,Plasma-5
Low,37,0.2549946187126247,32,group=Low,2,Plasma-5
High,38,0.07692307692307696,9,group=High,2,Plasma-5
Low,38,0.24702603687785515,31,group=Low,2,Plasma-5
High,39,0.07692307692307696,9,group=High,2,Plasma-5
Low,39,0.23108887320831611,29,group=Low,2,Plasma-5
High,40,0.07692307692307696,9,group=High,2,Plasma-5
Low,40,0.23108887320831611,29,group=Low,2,Plasma-5
High,41,0.0683760683760684,8,group=High,2,Plasma-5
Low,41,0.23108887320831611,29,group=Low,2,Plasma-5
High,42,0.0683760683760684,8,group=High,2,Plasma-5
Low,42,0.23108887320831611,29,group=Low,2,Plasma-5
High,43,0.0683760683760684,8,group=High,2,Plasma-5
Low,43,0.23108887320831611,29,group=Low,2,Plasma-5
High,44,0.0683760683760684,8,group=High,2,Plasma-5
Low,44,0.23108887320831611,29,group=Low,2,Plasma-5
High,45,0.051282051282051294,6,group=High,2,Plasma-5
Low,45,0.22283569916516197,27,group=Low,2,Plasma-5
High,46,0.04273504273504275,5,group=High,2,Plasma-5
Low,46,0.22283569916516197,27,group=Low,2,Plasma-5
High,47,0.04273504273504275,5,group=High,2,Plasma-5
Low,47,0.22283569916516197,27,group=Low,2,Plasma-5
High,48,0.04273504273504275,5,group=High,2,Plasma-5
Low,48,0.22283569916516197,27,group=Low,2,Plasma-5
High,49,0.04273504273504275,5,group=High,2,Plasma-5
Low,49,0.22283569916516197,27,group=Low,2,Plasma-5
High,50,0.0341880341880342,4,group=High,2,Plasma-5
Low,50,0.22283569916516197,27,group=Low,2,Plasma-5
High,51,0.025641025641025647,3,group=High,2,Plasma-5
Low,51,0.22283569916516197,27,group=Low,2,Plasma-5
High,52,0.025641025641025647,3,group=High,2,Plasma-5
Low,52,0.20632935107885367,25,group=Low,2,Plasma-5
High,53,0.017094017094017096,2,group=High,2,Plasma-5
Low,53,0.20632935107885367,25,group=Low,2,Plasma-5
High,54,0.008547008547008548,1,group=High,2,Plasma-5
