Program code,Parent lineage,Display lineage,State program,Disease group,Spearman rho,P value,No. donors,FDR,Sig lbl
Micro_Cycling,Microglia,Microglia,Cycling,C9-FTLD,-0.176,0.627,10,0.848,
Micro_Cycling,Microglia,Microglia,Cycling,FTLD,-0.452,0.0346,22,0.270,
Micro_Cycling,Microglia,Microglia,Cycling,Control,0.011,0.970,15,0.983,
Micro_Cycling,Microglia,Microglia,Cycling,All donors,-0.146,0.230,69,0.618,
OPC_Canonical,OPC,OPC,Canonical,SALS,-0.216,0.406,17,0.736,
OPC_Canonical,OPC,OPC,Canonical,C9-ALS,-0.457,0.0867,15,0.413,
OPC_Canonical,OPC,OPC,Canonical,ALS,-0.151,0.409,32,0.739,
OPC_Canonical,OPC,OPC,Canonical,SFTLD,0.336,0.286,12,0.677,
OPC_Canonical,OPC,OPC,Canonical,C9-FTLD,-0.091,0.803,10,0.917,
OPC_Canonical,OPC,OPC,Canonical,FTLD,0.073,0.747,22,0.905,
OPC_Canonical,OPC,OPC,Canonical,Control,0.175,0.533,15,0.791,
OPC_Canonical,OPC,OPC,Canonical,All donors,0.094,0.442,69,0.745,
OPC_Cycling,OPC,OPC,Cycling,SALS,-0.424,0.0898,17,0.417,
OPC_Cycling,OPC,OPC,Cycling,C9-ALS,-0.457,0.0867,15,0.413,
OPC_Cycling,OPC,OPC,Cycling,ALS,-0.451,0.00967,32,0.113,
OPC_Cycling,OPC,OPC,Cycling,SFTLD,-0.357,0.255,12,0.652,
OPC_Cycling,OPC,OPC,Cycling,C9-FTLD,0.6,0.0667,10,0.363,
OPC_Cycling,OPC,OPC,Cycling,FTLD,0.099,0.662,22,0.862,
OPC_Cycling,OPC,OPC,Cycling,Control,-0.243,0.383,15,0.736,
OPC_Cycling,OPC,OPC,Cycling,All donors,-0.315,0.00837,69,0.105,
OPC_Differentiating,OPC,OPC,Differentiating,SALS,-0.502,0.0398,17,0.297,
OPC_Differentiating,OPC,OPC,Differentiating,C9-ALS,-0.486,0.0664,15,0.363,
OPC_Differentiating,OPC,OPC,Differentiating,ALS,-0.359,0.0435,32,0.314,
OPC_Differentiating,OPC,OPC,Differentiating,SFTLD,-0.063,0.846,12,0.936,
OPC_Differentiating,OPC,OPC,Differentiating,C9-FTLD,-0.236,0.511,10,0.778,
OPC_Differentiating,OPC,OPC,Differentiating,FTLD,-0.188,0.402,22,0.736,
OPC_Differentiating,OPC,OPC,Differentiating,Control,-0.232,0.405,15,0.736,
OPC_Differentiating,OPC,OPC,Differentiating,All donors,-0.048,0.694,69,0.876,
OPC_Reactive,OPC,OPC,Reactive / injury,SALS,0.093,0.722,17,0.893,
OPC_Reactive,OPC,OPC,Reactive / injury,C9-ALS,0.114,0.685,15,0.870,
OPC_Reactive,OPC,OPC,Reactive / injury,ALS,0.055,0.765,32,0.905,
OPC_Reactive,OPC,OPC,Reactive / injury,SFTLD,0.287,0.366,12,0.736,
OPC_Reactive,OPC,OPC,Reactive / injury,C9-FTLD,0.709,0.0217,10,0.207,
OPC_Reactive,OPC,OPC,Reactive / injury,FTLD,0.511,0.0151,22,0.154,
OPC_Reactive,OPC,OPC,Reactive / injury,Control,0.232,0.405,15,0.736,
OPC_Reactive,OPC,OPC,Reactive / injury,All donors,0.224,0.0643,69,0.363,
OPC_Interferon,OPC,OPC,Interferon,SALS,0.466,0.0596,17,0.353,
OPC_Interferon,OPC,OPC,Interferon,C9-ALS,0.55,0.0337,15,0.268,
OPC_Interferon,OPC,OPC,Interferon,ALS,0.484,0.00506,32,0.0745,
OPC_Interferon,OPC,OPC,Interferon,SFTLD,-0.021,0.948,12,0.979,
OPC_Interferon,OPC,OPC,Interferon,C9-FTLD,0.285,0.425,10,0.740,
OPC_Interferon,OPC,OPC,Interferon,FTLD,0.05,0.824,22,0.928,
OPC_Interferon,OPC,OPC,Interferon,Control,-0.186,0.508,15,0.778,
OPC_Interferon,OPC,OPC,Interferon,All donors,0.106,0.385,69,0.736,
Oligo_Mature,Oligo,Oligodendrocyte,Mature / myelinating,SALS,0.362,0.169,16,0.534,
Oligo_Mature,Oligo,Oligodendrocyte,Mature / myelinating,C9-ALS,-0.789,4.7 × 10⁻⁴,15,0.0142,*
Oligo_Mature,Oligo,Oligodendrocyte,Mature / myelinating,ALS,-0.258,0.160,31,0.523,
Oligo_Mature,Oligo,Oligodendrocyte,Mature / myelinating,SFTLD,0.266,0.404,12,0.736,
Oligo_Mature,Oligo,Oligodendrocyte,Mature / myelinating,C9-FTLD,-0.333,0.347,10,0.733,
Oligo_Mature,Oligo,Oligodendrocyte,Mature / myelinating,FTLD,-0.045,0.844,22,0.936,
Oligo_Mature,Oligo,Oligodendrocyte,Mature / myelinating,Control,-0.4,0.140,15,0.500,
Oligo_Mature,Oligo,Oligodendrocyte,Mature / myelinating,All donors,-0.462,7.3 × 10⁻⁵,68,0.00442,**
Oligo_Stress,Oligo,Oligodendrocyte,Stress,SALS,0.25,0.350,16,0.734,
Oligo_Stress,Oligo,Oligodendrocyte,Stress,C9-ALS,0.504,0.0557,15,0.343,
Oligo_Stress,Oligo,Oligodendrocyte,Stress,ALS,0.357,0.0485,31,0.328,
Oligo_Stress,Oligo,Oligodendrocyte,Stress,SFTLD,0.035,0.914,12,0.966,
Oligo_Stress,Oligo,Oligodendrocyte,Stress,C9-FTLD,0.43,0.214,10,0.593,
Oligo_Stress,Oligo,Oligodendrocyte,Stress,FTLD,0.244,0.273,22,0.670,
Oligo_Stress,Oligo,Oligodendrocyte,Stress,Control,0.664,0.00691,15,0.0921,
Oligo_Stress,Oligo,Oligodendrocyte,Stress,All donors,0.57,3.9 × 10⁻⁷,68,1.1 × 10⁻⁴,***
Oligo_DiseaseAssoc,Oligo,Oligodendrocyte,Disease-associated,SALS,0.138,0.610,16,0.836,
Oligo_DiseaseAssoc,Oligo,Oligodendrocyte,Disease-associated,C9-ALS,-0.511,0.0517,15,0.332,
Oligo_DiseaseAssoc,Oligo,Oligodendrocyte,Disease-associated,ALS,-0.165,0.376,31,0.736,
Oligo_DiseaseAssoc,Oligo,Oligodendrocyte,Disease-associated,SFTLD,0.434,0.159,12,0.523,
Oligo_DiseaseAssoc,Oligo,Oligodendrocyte,Disease-associated,C9-FTLD,0.394,0.260,10,0.659,
Oligo_DiseaseAssoc,Oligo,Oligodendrocyte,Disease-associated,FTLD,0.424,0.0492,22,0.328,
Oligo_DiseaseAssoc,Oligo,Oligodendrocyte,Disease-associated,Control,0.396,0.143,15,0.500,
Oligo_DiseaseAssoc,Oligo,Oligodendrocyte,Disease-associated,All donors,0.322,0.00748,68,0.0970,
Vasc_BBB,Vascular,Vascular,BBB / capillary endothelial,SALS,0.191,0.462,17,0.754,
Vasc_BBB,Vascular,Vascular,BBB / capillary endothelial,C9-ALS,0.357,0.191,15,0.563,
Vasc_BBB,Vascular,Vascular,BBB / capillary endothelial,ALS,0.318,0.0763,32,0.388,
Vasc_BBB,Vascular,Vascular,BBB / capillary endothelial,SFTLD,0.385,0.217,12,0.596,
Vasc_BBB,Vascular,Vascular,BBB / capillary endothelial,C9-FTLD,0.285,0.425,10,0.740,
Vasc_BBB,Vascular,Vascular,BBB / capillary endothelial,FTLD,0.337,0.125,22,0.473,
Vasc_BBB,Vascular,Vascular,BBB / capillary endothelial,Control,-0.454,0.0895,15,0.417,
Vasc_BBB,Vascular,Vascular,BBB / capillary endothelial,All donors,0.159,0.193,69,0.564,
Vasc_Arterial,Vascular,Vascular,Arterial endothelial,SALS,0.787,1.8 × 10⁻⁴,17,0.00718,**
Vasc_Arterial,Vascular,Vascular,Arterial endothelial,C9-ALS,0.461,0.0839,15,0.412,
Vasc_Arterial,Vascular,Vascular,Arterial endothelial,ALS,0.615,1.8 × 10⁻⁴,32,0.00718,**
Vasc_Arterial,Vascular,Vascular,Arterial endothelial,SFTLD,0.259,0.417,12,0.740,
Vasc_Arterial,Vascular,Vascular,Arterial endothelial,C9-FTLD,0.127,0.726,10,0.893,
Vasc_Arterial,Vascular,Vascular,Arterial endothelial,FTLD,0.154,0.493,22,0.772,
Vasc_Arterial,Vascular,Vascular,Arterial endothelial,Control,0.236,0.398,15,0.736,
Vasc_Arterial,Vascular,Vascular,Arterial endothelial,All donors,0.469,4.8 × 10⁻⁵,69,0.00375,**
Vasc_Venous,Vascular,Vascular,Venous / inflammatory endothelial,SALS,0.331,0.195,17,0.565,
Vasc_Venous,Vascular,Vascular,Venous / inflammatory endothelial,C9-ALS,0.086,0.761,15,0.905,
Vasc_Venous,Vascular,Vascular,Venous / inflammatory endothelial,ALS,0.233,0.200,32,0.569,
Vasc_Venous,Vascular,Vascular,Venous / inflammatory endothelial,SFTLD,0.28,0.379,12,0.736,
Vasc_Venous,Vascular,Vascular,Venous / inflammatory endothelial,C9-FTLD,0.503,0.138,10,0.500,
Vasc_Venous,Vascular,Vascular,Venous / inflammatory endothelial,FTLD,0.333,0.130,22,0.488,
Vasc_Venous,Vascular,Vascular,Venous / inflammatory endothelial,Control,0.279,0.315,15,0.704,
Vasc_Venous,Vascular,Vascular,Venous / inflammatory endothelial,All donors,0.055,0.654,69,0.856,
Vasc_InflammMHC,Vascular,Vascular,MHC-II endothelial,SALS,0.172,0.510,17,0.778,
Vasc_InflammMHC,Vascular,Vascular,MHC-II endothelial,C9-ALS,-0.382,0.160,15,0.523,
Vasc_InflammMHC,Vascular,Vascular,MHC-II endothelial,ALS,-0.076,0.680,32,0.870,
Vasc_InflammMHC,Vascular,Vascular,MHC-II endothelial,SFTLD,0.294,0.354,12,0.734,
Vasc_InflammMHC,Vascular,Vascular,MHC-II endothelial,C9-FTLD,0.212,0.556,10,0.804,
Vasc_InflammMHC,Vascular,Vascular,MHC-II endothelial,FTLD,0.22,0.326,22,0.715,
Vasc_InflammMHC,Vascular,Vascular,MHC-II endothelial,Control,0.293,0.289,15,0.680,
Vasc_InflammMHC,Vascular,Vascular,MHC-II endothelial,All donors,-0.033,0.791,69,0.912,
Vasc_Pericyte,Vascular,Vascular,Pericyte,SALS,0.279,0.277,17,0.670,
Vasc_Pericyte,Vascular,Vascular,Pericyte,C9-ALS,-0.279,0.315,15,0.704,
Vasc_Pericyte,Vascular,Vascular,Pericyte,ALS,0.016,0.932,32,0.973,
Vasc_Pericyte,Vascular,Vascular,Pericyte,SFTLD,0.427,0.167,12,0.533,
Vasc_Pericyte,Vascular,Vascular,Pericyte,C9-FTLD,-0.321,0.365,10,0.736,
Vasc_Pericyte,Vascular,Vascular,Pericyte,FTLD,0.103,0.647,22,0.855,
Vasc_Pericyte,Vascular,Vascular,Pericyte,Control,-0.1,0.723,15,0.893,
Vasc_Pericyte,Vascular,Vascular,Pericyte,All donors,0.036,0.769,69,0.906,
Vasc_SmoothMuscle,Vascular,Vascular,Smooth muscle / mural,SALS,-0.127,0.626,17,0.848,
Vasc_SmoothMuscle,Vascular,Vascular,Smooth muscle / mural,C9-ALS,0.175,0.533,15,0.791,
Vasc_SmoothMuscle,Vascular,Vascular,Smooth muscle / mural,ALS,0.051,0.780,32,0.906,
Vasc_SmoothMuscle,Vascular,Vascular,Smooth muscle / mural,SFTLD,-0.035,0.914,12,0.966,
Vasc_SmoothMuscle,Vascular,Vascular,Smooth muscle / mural,C9-FTLD,0.321,0.365,10,0.736,
Vasc_SmoothMuscle,Vascular,Vascular,Smooth muscle / mural,FTLD,0.095,0.673,22,0.867,
Vasc_SmoothMuscle,Vascular,Vascular,Smooth muscle / mural,Control,-0.232,0.405,15,0.736,
Vasc_SmoothMuscle,Vascular,Vascular,Smooth muscle / mural,All donors,-0.001,0.994,69,0.995,
Vasc_Fibroblast,Vascular,Vascular,Fibroblast-like perivascular,SALS,0.466,0.0596,17,0.353,
Vasc_Fibroblast,Vascular,Vascular,Fibroblast-like perivascular,C9-ALS,-0.157,0.576,15,0.818,
Vasc_Fibroblast,Vascular,Vascular,Fibroblast-like perivascular,ALS,0.132,0.473,32,0.761,
Vasc_Fibroblast,Vascular,Vascular,Fibroblast-like perivascular,SFTLD,0.448,0.145,12,0.500,
Vasc_Fibroblast,Vascular,Vascular,Fibroblast-like perivascular,C9-FTLD,-0.067,0.855,10,0.941,
Vasc_Fibroblast,Vascular,Vascular,Fibroblast-like perivascular,FTLD,0.209,0.349,22,0.734,
Vasc_Fibroblast,Vascular,Vascular,Fibroblast-like perivascular,Control,-0.296,0.283,15,0.677,
Vasc_Fibroblast,Vascular,Vascular,Fibroblast-like perivascular,All donors,0.121,0.321,69,0.709,
