"group","time","surv","n_risk","strata","repeat_id","signature"
"High",59,0.00854700854700855,1,"group=High",2,"Plasma-5"
"Low",59,0.189823002992545,23,"group=Low",2,"Plasma-5"
"High",60,0.00854700854700855,1,"group=High",2,"Plasma-5"
"Low",60,0.181569828949391,22,"group=Low",2,"Plasma-5"
"High",61,0,0,"group=High",2,"Plasma-5"
"Low",61,0.173316654906237,21,"group=Low",2,"Plasma-5"
"High",62,0,0,"group=High",2,"Plasma-5"
"Low",62,0.173316654906237,21,"group=Low",2,"Plasma-5"
"High",63,0,0,"group=High",2,"Plasma-5"
"Low",63,0.164194725700646,19,"group=Low",2,"Plasma-5"
"High",64,0,0,"group=High",2,"Plasma-5"
"Low",64,0.155072796495054,17,"group=Low",2,"Plasma-5"
"High",65,0,0,"group=High",2,"Plasma-5"
"Low",65,0.155072796495054,17,"group=Low",2,"Plasma-5"
"High",66,0,0,"group=High",2,"Plasma-5"
"Low",66,0.155072796495054,15,"group=Low",2,"Plasma-5"
"High",67,0,0,"group=High",2,"Plasma-5"
"Low",67,0.155072796495054,15,"group=Low",2,"Plasma-5"
"High",68,0,0,"group=High",2,"Plasma-5"
"Low",68,0.155072796495054,15,"group=Low",2,"Plasma-5"
"High",69,0,0,"group=High",2,"Plasma-5"
"Low",69,0.144734610062051,14,"group=Low",2,"Plasma-5"
"High",70,0,0,"group=High",2,"Plasma-5"
"Low",70,0.144734610062051,14,"group=Low",2,"Plasma-5"
"High",71,0,0,"group=High",2,"Plasma-5"
"Low",71,0.134396423629047,13,"group=Low",2,"Plasma-5"
"High",72,0,0,"group=High",2,"Plasma-5"
"Low",72,0.134396423629047,13,"group=Low",2,"Plasma-5"
"High",73,0,0,"group=High",2,"Plasma-5"
"Low",73,0.134396423629047,12,"group=Low",2,"Plasma-5"
"High",74,0,0,"group=High",2,"Plasma-5"
"Low",74,0.134396423629047,11,"group=Low",2,"Plasma-5"
"High",75,0,0,"group=High",2,"Plasma-5"
"Low",75,0.134396423629047,9,"group=Low",2,"Plasma-5"
"High",76,0,0,"group=High",2,"Plasma-5"
"Low",76,0.134396423629047,9,"group=Low",2,"Plasma-5"
"High",77,0,0,"group=High",2,"Plasma-5"
"Low",77,0.134396423629047,9,"group=Low",2,"Plasma-5"
"High",78,0,0,"group=High",2,"Plasma-5"
"Low",78,0.134396423629047,9,"group=Low",2,"Plasma-5"
"High",79,0,0,"group=High",2,"Plasma-5"
"Low",79,0.134396423629047,8,"group=Low",2,"Plasma-5"
"High",80,0,0,"group=High",2,"Plasma-5"
"Low",80,0.134396423629047,8,"group=Low",2,"Plasma-5"
"High",81,0,0,"group=High",2,"Plasma-5"
"Low",81,0.117596870675416,7,"group=Low",2,"Plasma-5"
"High",82,0,0,"group=High",2,"Plasma-5"
"Low",82,0.117596870675416,7,"group=Low",2,"Plasma-5"
"High",83,0,0,"group=High",2,"Plasma-5"
"Low",83,0.100797317721785,6,"group=Low",2,"Plasma-5"
"High",84,0,0,"group=High",2,"Plasma-5"
"Low",84,0.100797317721785,6,"group=Low",2,"Plasma-5"
"High",85,0,0,"group=High",2,"Plasma-5"
"Low",85,0.100797317721785,5,"group=Low",2,"Plasma-5"
"High",86,0,0,"group=High",2,"Plasma-5"
"Low",86,0.100797317721785,5,"group=Low",2,"Plasma-5"
"High",87,0,0,"group=High",2,"Plasma-5"
"Low",87,0.100797317721785,5,"group=Low",2,"Plasma-5"
"High",88,0,0,"group=High",2,"Plasma-5"
"Low",88,0.0806378541774282,4,"group=Low",2,"Plasma-5"
"High",89,0,0,"group=High",2,"Plasma-5"
"Low",89,0.0806378541774282,4,"group=Low",2,"Plasma-5"
"High",90,0,0,"group=High",2,"Plasma-5"
"Low",90,0.0806378541774282,4,"group=Low",2,"Plasma-5"
"High",91,0,0,"group=High",2,"Plasma-5"
"Low",91,0.0806378541774282,4,"group=Low",2,"Plasma-5"
"High",92,0,0,"group=High",2,"Plasma-5"
"Low",92,0.0806378541774282,4,"group=Low",2,"Plasma-5"
"High",93,0,0,"group=High",2,"Plasma-5"
"Low",93,0.0806378541774282,4,"group=Low",2,"Plasma-5"
"High",94,0,0,"group=High",2,"Plasma-5"
"Low",94,0.0806378541774282,4,"group=Low",2,"Plasma-5"
"High",95,0,0,"group=High",2,"Plasma-5"
"Low",95,0.0806378541774282,4,"group=Low",2,"Plasma-5"
"High",96,0,0,"group=High",2,"Plasma-5"
"Low",96,0.0806378541774282,3,"group=Low",2,"Plasma-5"
"High",97,0,0,"group=High",2,"Plasma-5"
"Low",97,0.0806378541774282,3,"group=Low",2,"Plasma-5"
"High",98,0,0,"group=High",2,"Plasma-5"
"Low",98,0.0806378541774282,3,"group=Low",2,"Plasma-5"
"High",99,0,0,"group=High",2,"Plasma-5"
"Low",99,0.0806378541774282,3,"group=Low",2,"Plasma-5"
"High",100,0,0,"group=High",2,"Plasma-5"
"Low",100,0.0806378541774282,3,"group=Low",2,"Plasma-5"
"High",0,1,133,"group=High",3,"Plasma-5"
"Low",0,1,115,"group=Low",3,"Plasma-5"
"High",1,0.992481203007519,132,"group=High",3,"Plasma-5"
"Low",1,0.991304347826087,114,"group=Low",3,"Plasma-5"
"High",2,0.93984962406015,126,"group=High",3,"Plasma-5"
"Low",2,0.956521739130435,110,"group=Low",3,"Plasma-5"
"High",3,0.879699248120301,119,"group=High",3,"Plasma-5"
"Low",3,0.88695652173913,104,"group=Low",3,"Plasma-5"
"High",4,0.842105263157895,112,"group=High",3,"Plasma-5"
"Low",4,0.869565217391304,102,"group=Low",3,"Plasma-5"
"High",5,0.81203007518797,108,"group=High",3,"Plasma-5"
"Low",5,0.834782608695652,96,"group=Low",3,"Plasma-5"
"High",6,0.766917293233083,102,"group=High",3,"Plasma-5"
"Low",6,0.8,92,"group=Low",3,"Plasma-5"
"High",7,0.721804511278196,96,"group=High",3,"Plasma-5"
"Low",7,0.773913043478261,90,"group=Low",3,"Plasma-5"
"High",8,0.669172932330827,91,"group=High",3,"Plasma-5"
"Low",8,0.765217391304348,88,"group=Low",3,"Plasma-5"
"High",9,0.646616541353384,88,"group=High",3,"Plasma-5"
"Low",9,0.704347826086957,81,"group=Low",3,"Plasma-5"
"High",10,0.586466165413534,78,"group=High",3,"Plasma-5"
"Low",10,0.669565217391305,77,"group=Low",3,"Plasma-5"
"High",11,0.548872180451128,73,"group=High",3,"Plasma-5"
"Low",11,0.634782608695652,74,"group=Low",3,"Plasma-5"
"High",12,0.503759398496241,68,"group=High",3,"Plasma-5"
"Low",12,0.608695652173913,70,"group=Low",3,"Plasma-5"
"High",13,0.443609022556392,59,"group=High",3,"Plasma-5"
"Low",13,0.6,69,"group=Low",3,"Plasma-5"
"High",14,0.421052631578948,57,"group=High",3,"Plasma-5"
"Low",14,0.573913043478261,66,"group=Low",3,"Plasma-5"
"High",15,0.375939849624061,50,"group=High",3,"Plasma-5"
"Low",15,0.565217391304348,65,"group=Low",3,"Plasma-5"
"High",16,0.345864661654136,46,"group=High",3,"Plasma-5"
"Low",16,0.565217391304348,65,"group=Low",3,"Plasma-5"
"High",17,0.330827067669173,44,"group=High",3,"Plasma-5"
"Low",17,0.556521739130435,64,"group=Low",3,"Plasma-5"
"High",18,0.293233082706767,39,"group=High",3,"Plasma-5"
"Low",18,0.547826086956522,63,"group=Low",3,"Plasma-5"
"High",19,0.263157894736842,35,"group=High",3,"Plasma-5"
"Low",19,0.530434782608696,62,"group=Low",3,"Plasma-5"
"High",20,0.255639097744361,34,"group=High",3,"Plasma-5"
"Low",20,0.504347826086957,58,"group=Low",3,"Plasma-5"
"High",21,0.225563909774436,30,"group=High",3,"Plasma-5"
